Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
HDAC6	TCF3	364	13	11	1	0.934	0.360	1.000	Co-occurrence
TLE1	G3BP1	363	9	16	1	0.925	0.364	1.000	Co-occurrence
TLE1	TP73	363	9	16	1	0.925	0.364	1.000	Co-occurrence
TLE1	FSHR	363	9	16	1	0.925	0.364	1.000	Co-occurrence
CUX1	OVOL2	362	18	8	1	0.922	0.366	1.000	Co-occurrence
USP9X	PRKCA	343	31	13	2	0.532	0.369	1.000	Co-occurrence
PAK4	PBXIP1	363	15	10	1	0.884	0.374	1.000	Co-occurrence
PBXIP1	TRIM33	363	10	15	1	0.884	0.374	1.000	Co-occurrence
PBXIP1	SON	363	10	15	1	0.884	0.374	1.000	Co-occurrence
TRIM33	KLF8	363	15	10	1	0.884	0.374	1.000	Co-occurrence
ITGB4	EPS8	358	24	6	1	0.911	0.374	1.000	Co-occurrence
ITGB4	SOX3	358	24	6	1	0.911	0.374	1.000	Co-occurrence
ITGB4	HAVCR2	358	24	6	1	0.911	0.374	1.000	Co-occurrence
FBXW7	SIN3A	308	63	14	4	0.334	0.376	1.000	Co-occurrence
ACTN4	FBXO11	363	14	11	1	0.857	0.380	1.000	Co-occurrence
PRKCA	FBXO11	363	14	11	1	0.857	0.380	1.000	Co-occurrence
ACTN4	QKI	363	14	11	1	0.857	0.380	1.000	Co-occurrence
PRKCA	QKI	363	14	11	1	0.857	0.380	1.000	Co-occurrence
SFTPC	ITGA3	351	21	17	0	<-3	0.381	1.000	Mutual exclusivity
SCIN	HDAC6	363	12	13	1	0.845	0.384	1.000	Co-occurrence
GSK3A	PIK3CA	262	2	123	2	0.756	0.386	1.000	Co-occurrence
IRF8	PIK3CA	262	2	123	2	0.756	0.386	1.000	Co-occurrence
MMD	UBR5	349	4	35	1	0.913	0.386	1.000	Co-occurrence
ITGB4	HDAC6	350	25	14	0	<-3	0.388	1.000	Mutual exclusivity
PTPA	WWOX	328	2	58	1	1.039	0.390	1.000	Co-occurrence
ATM	CREB1	328	58	2	1	1.039	0.390	1.000	Co-occurrence
WWOX	CREB1	328	58	2	1	1.039	0.390	1.000	Co-occurrence
G3BP1	PBXIP1	362	16	10	1	0.816	0.392	1.000	Co-occurrence
PBXIP1	ITGA3	362	10	16	1	0.816	0.392	1.000	Co-occurrence
PBXIP1	FSHR	362	10	16	1	0.816	0.392	1.000	Co-occurrence
G3BP1	KLF8	362	16	10	1	0.816	0.392	1.000	Co-occurrence
OVOL2	SFTPC	360	8	20	1	0.811	0.396	1.000	Co-occurrence
SFTPC	ATM	313	17	55	4	0.292	0.397	1.000	Co-occurrence
ITGB4	SFTPC	345	23	19	2	0.457	0.398	1.000	Co-occurrence
TLE1	CUX1	361	9	18	1	0.801	0.398	1.000	Co-occurrence
STAT1	CUX1	352	18	19	0	<-3	0.398	1.000	Mutual exclusivity
FBXO11	SON	362	11	15	1	0.786	0.400	1.000	Co-occurrence
PKP3	SON	362	11	15	1	0.786	0.400	1.000	Co-occurrence
UBE3C	FBXO11	362	15	11	1	0.786	0.400	1.000	Co-occurrence
TRIM33	QKI	362	15	11	1	0.786	0.400	1.000	Co-occurrence
PAK4	USP9X	342	14	31	2	0.455	0.401	1.000	Co-occurrence
PIK3CA	SHH	260	122	4	3	0.469	0.402	1.000	Co-occurrence
CXCR2	PIK3CA	260	4	122	3	0.469	0.402	1.000	Co-occurrence
BIRC2	PIK3CA	260	4	122	3	0.469	0.402	1.000	Co-occurrence
HAVCR2	PIK3CA	260	4	122	3	0.469	0.402	1.000	Co-occurrence
SNW1	PIK3CA	260	4	122	3	0.469	0.402	1.000	Co-occurrence
SFTPC	TRIM33	352	21	16	0	<-3	0.404	1.000	Mutual exclusivity
ACTN4	FSCN2	362	14	12	1	0.768	0.405	1.000	Co-occurrence
HDAC6	CARD10	362	13	13	1	0.762	0.407	1.000	Co-occurrence
OVOL2	ATM	323	7	57	2	0.482	0.407	1.000	Co-occurrence
PBXIP1	SIN3A	361	10	17	1	0.753	0.410	1.000	Co-occurrence
STAT1	KLF8	361	17	10	1	0.753	0.410	1.000	Co-occurrence
SIN3A	KLF8	361	17	10	1	0.753	0.410	1.000	Co-occurrence
PIK3CA	SON	254	119	10	6	0.247	0.411	1.000	Co-occurrence
FBXW7	NUMB	316	65	6	2	0.483	0.413	1.000	Co-occurrence
FBXW7	TRIM62	316	65	6	2	0.483	0.413	1.000	Co-occurrence
HDAC8	USP9X	351	5	32	1	0.786	0.415	1.000	Co-occurrence
USP9X	AQP3	351	32	5	1	0.786	0.415	1.000	Co-occurrence
G3BP1	FBXO11	361	16	11	1	0.718	0.420	1.000	Co-occurrence
OVOL2	JAG1	358	8	22	1	0.710	0.426	1.000	Co-occurrence
SCIN	UBE3C	361	12	15	1	0.696	0.426	1.000	Co-occurrence
ETV1	SON	361	12	15	1	0.696	0.426	1.000	Co-occurrence
FBXO11	PIK3CA	255	9	122	3	-0.361	0.426	1.000	Mutual exclusivity
PRKCA	SFTPC	353	15	21	0	<-3	0.428	1.000	Mutual exclusivity
SFTPC	MAPK7	359	20	9	1	0.690	0.430	1.000	Co-occurrence
USP9X	ITGA3	341	31	15	2	0.383	0.432	1.000	Co-occurrence
ATM	FBXO11	319	58	11	1	-0.693	0.434	1.000	Mutual exclusivity
SIN3A	FBXO11	360	17	11	1	0.655	0.438	1.000	Co-occurrence
STAT1	TCF3	360	17	11	1	0.655	0.438	1.000	Co-occurrence
SIN3A	TCF3	360	17	11	1	0.655	0.438	1.000	Co-occurrence
PRKCA	PIK3CA	253	11	121	4	-0.274	0.441	1.000	Mutual exclusivity
AQP3	UBR5	348	5	35	1	0.687	0.444	1.000	Co-occurrence
GAPDH	UBR5	348	5	35	1	0.687	0.444	1.000	Co-occurrence
MDM4	UBR5	348	5	35	1	0.687	0.444	1.000	Co-occurrence
FBXW7	NRP2	311	64	11	3	0.282	0.444	1.000	Co-occurrence
FBXW7	CARD10	311	64	11	3	0.282	0.444	1.000	Co-occurrence
ITGB4	JAG1	343	23	21	2	0.351	0.445	1.000	Co-occurrence
SCIN	ITGA3	360	12	16	1	0.629	0.446	1.000	Co-occurrence
FSCN2	FSHR	360	12	16	1	0.629	0.446	1.000	Co-occurrence
SCIN	FSHR	360	12	16	1	0.629	0.446	1.000	Co-occurrence
ITGA3	ETV1	360	16	12	1	0.629	0.446	1.000	Co-occurrence
USP9X	OVOL2	347	33	9	0	<-3	0.446	1.000	Mutual exclusivity
NRP2	TRIM33	360	13	15	1	0.613	0.450	1.000	Co-occurrence
PAK4	CARD10	360	15	13	1	0.613	0.450	1.000	Co-occurrence
CARD10	SON	360	13	15	1	0.613	0.450	1.000	Co-occurrence
ITGB4	OVOL2	356	24	8	1	0.617	0.454	1.000	Co-occurrence
SFTPC	CARD10	354	21	14	0	<-3	0.454	1.000	Mutual exclusivity
CUX1	GRN	359	18	11	1	0.595	0.457	1.000	Co-occurrence
GEMIN2	PIK3CA	262	2	125	0	<-3	0.460	1.000	Mutual exclusivity
TLE1	JAG1	357	9	22	1	0.589	0.460	1.000	Co-occurrence
NOTCH4	PBXIP1	358	20	10	1	0.582	0.461	1.000	Co-occurrence
SFTPC	IGSF8	358	20	10	1	0.582	0.461	1.000	Co-occurrence
USP9X	EPS8	350	32	6	1	0.600	0.465	1.000	Co-occurrence
USP9X	BIRC2	350	32	6	1	0.600	0.465	1.000	Co-occurrence
KMT2A	SOX3	350	32	6	1	0.600	0.465	1.000	Co-occurrence
USP9X	SNW1	350	32	6	1	0.600	0.465	1.000	Co-occurrence
USP9X	SHH	350	32	6	1	0.600	0.465	1.000	Co-occurrence
CUX1	PRKCA	355	19	15	0	<-3	0.465	1.000	Mutual exclusivity
FBXW7	GSK3A	318	67	4	0	<-3	0.468	1.000	Mutual exclusivity
FBXW7	IRF8	318	67	4	0	<-3	0.468	1.000	Mutual exclusivity
G3BP1	HDAC6	359	16	13	1	0.546	0.471	1.000	Co-occurrence
NRP2	ITGA3	359	13	16	1	0.546	0.471	1.000	Co-occurrence
HDAC6	FSHR	359	13	16	1	0.546	0.471	1.000	Co-occurrence
NRP2	FSHR	359	13	16	1	0.546	0.471	1.000	Co-occurrence
FSHR	CARD10	359	16	13	1	0.546	0.471	1.000	Co-occurrence
PAK4	PRKCA	359	15	14	1	0.536	0.474	1.000	Co-occurrence
PRKCA	UBE3C	359	14	15	1	0.536	0.474	1.000	Co-occurrence
PRKCA	SON	359	14	15	1	0.536	0.474	1.000	Co-occurrence
G3BP1	PAK4	356	17	16	0	<-3	0.482	1.000	Mutual exclusivity
ITGA3	SON	356	17	16	0	<-3	0.482	1.000	Mutual exclusivity
ATM	GSK3A	327	58	3	1	0.631	0.484	1.000	Co-occurrence
GSK3A	WWOX	327	3	58	1	0.631	0.484	1.000	Co-occurrence
ATM	IRF8	327	58	3	1	0.631	0.484	1.000	Co-occurrence
ATM	EGFL7	327	58	3	1	0.631	0.484	1.000	Co-occurrence
WWOX	EGFL7	327	58	3	1	0.631	0.484	1.000	Co-occurrence
STAT1	CARD10	358	17	13	1	0.482	0.491	1.000	Co-occurrence
SIN3A	CARD10	358	17	13	1	0.482	0.491	1.000	Co-occurrence
NOTCH4	GRN	357	20	11	1	0.484	0.491	1.000	Co-occurrence
SFTPC	PKP3	357	20	11	1	0.484	0.491	1.000	Co-occurrence
SFTPC	TCF3	357	20	11	1	0.484	0.491	1.000	Co-occurrence
JAG1	KLF8	356	22	10	1	0.481	0.493	1.000	Co-occurrence
ACTN4	ITGA3	358	14	16	1	0.469	0.495	1.000	Co-occurrence
PRKCA	ITGA3	358	14	16	1	0.469	0.495	1.000	Co-occurrence
ACTN4	TP73	358	14	16	1	0.469	0.495	1.000	Co-occurrence
PRKCA	TP73	358	14	16	1	0.469	0.495	1.000	Co-occurrence
PRKCA	FSHR	358	14	16	1	0.469	0.495	1.000	Co-occurrence
G3BP1	PRKCA	358	16	14	1	0.469	0.495	1.000	Co-occurrence
CXCR2	UBR5	347	6	35	1	0.502	0.496	1.000	Co-occurrence
GSN	UBR5	347	6	35	1	0.502	0.496	1.000	Co-occurrence
SOX3	UBR5	347	6	35	1	0.502	0.496	1.000	Co-occurrence
HAVCR2	UBR5	347	6	35	1	0.502	0.496	1.000	Co-occurrence
SNW1	UBR5	347	6	35	1	0.502	0.496	1.000	Co-occurrence
TRIM33	SON	358	15	15	1	0.464	0.496	1.000	Co-occurrence
FBXW7	SFTPC	304	64	18	3	-0.234	0.496	1.000	Mutual exclusivity
NUMB	PIK3CA	258	6	123	2	-0.358	0.497	1.000	Mutual exclusivity
PAK4	SON	357	16	16	0	<-3	0.504	1.000	Mutual exclusivity
CRK	UBR5	346	7	36	0	<-3	0.504	1.000	Mutual exclusivity
ACTN4	FSHR	357	15	17	0	<-3	0.505	1.000	Mutual exclusivity
G3BP1	ACTN4	357	17	15	0	<-3	0.505	1.000	Mutual exclusivity
FBXW7	ACTN4	309	65	13	2	-0.313	0.506	1.000	Mutual exclusivity
NOTCH4	FBXO11	356	21	12	0	<-3	0.509	1.000	Mutual exclusivity
SFTPC	FBXO11	356	21	12	0	<-3	0.509	1.000	Mutual exclusivity
SFTPC	GRN	356	21	12	0	<-3	0.509	1.000	Mutual exclusivity
PIK3CA	CARD10	254	121	10	4	-0.175	0.514	1.000	Mutual exclusivity
ACTN4	SIN3A	357	14	17	1	0.405	0.515	1.000	Co-occurrence
MMD	PIK3CA	261	3	123	2	0.347	0.516	1.000	Co-occurrence
UBE3C	TP73	357	15	16	1	0.397	0.518	1.000	Co-occurrence
FSCN2	SFTPC	356	12	20	1	0.394	0.520	1.000	Co-occurrence
SCIN	SFTPC	356	12	20	1	0.394	0.520	1.000	Co-occurrence
SFTPC	ETV1	356	20	12	1	0.394	0.520	1.000	Co-occurrence
ITGB4	KLF8	354	24	10	1	0.389	0.523	1.000	Co-occurrence
JAG1	FBXO11	355	22	11	1	0.383	0.524	1.000	Co-occurrence
JAG1	TCF3	355	22	11	1	0.383	0.524	1.000	Co-occurrence
ACTN4	TRIM33	358	15	16	0	<-3	0.526	1.000	Mutual exclusivity
CAPNS1	FBXW7	319	3	66	1	0.477	0.532	1.000	Co-occurrence
FBXW7	ZNF143	319	66	3	1	0.477	0.532	1.000	Co-occurrence
CRK	KMT2A	349	7	33	0	<-3	0.535	1.000	Mutual exclusivity
USP9X	CRK	349	33	7	0	<-3	0.535	1.000	Mutual exclusivity
KMT2A	SNW1	349	33	7	0	<-3	0.535	1.000	Mutual exclusivity
SIN3A	SON	356	17	15	1	0.334	0.539	1.000	Co-occurrence
PBXIP1	SFTPC	357	11	21	0	<-3	0.539	1.000	Mutual exclusivity
NR1I2	PIK3CA	263	1	124	1	0.752	0.540	1.000	Co-occurrence
CSF2	PIK3CA	263	1	124	1	0.752	0.540	1.000	Co-occurrence
PIK3CA	NODAL	263	124	1	1	0.752	0.540	1.000	Co-occurrence
FBXW7	SON	309	64	13	3	0.108	0.541	1.000	Co-occurrence
NOTCH4	HDAC6	355	20	13	1	0.311	0.546	1.000	Co-occurrence
SFTPC	HDAC6	355	20	13	1	0.311	0.546	1.000	Co-occurrence
SFTPC	NRP2	355	20	13	1	0.311	0.546	1.000	Co-occurrence
SFTPC	KMT2A	337	19	31	2	0.135	0.548	1.000	Co-occurrence
OVOL2	KMT2A	348	8	32	1	0.307	0.554	1.000	Co-occurrence
ACTN4	PIK3CA	254	10	120	5	0.057	0.559	1.000	Co-occurrence
SIN3A	ITGA3	355	17	16	1	0.266	0.561	1.000	Co-occurrence
FBXW7	PTPA	319	67	3	0	<-3	0.566	1.000	Mutual exclusivity
FBXW7	CREB1	319	67	3	0	<-3	0.566	1.000	Mutual exclusivity
TLE1	SFTPC	358	10	21	0	<-3	0.570	1.000	Mutual exclusivity
PRKCA	CARD10	360	15	14	0	<-3	0.571	1.000	Mutual exclusivity
NOTCH4	PRKCA	354	20	14	1	0.235	0.572	1.000	Co-occurrence
CUX1	IGSF8	359	19	11	0	<-3	0.572	1.000	Mutual exclusivity
PAK4	FSCN2	360	16	13	0	<-3	0.574	1.000	Mutual exclusivity
PAK4	SCIN	360	16	13	0	<-3	0.574	1.000	Mutual exclusivity
FSCN2	TRIM33	360	13	16	0	<-3	0.574	1.000	Mutual exclusivity
TP73	QKI	360	17	12	0	<-3	0.580	1.000	Mutual exclusivity
G3BP1	TCF3	360	17	12	0	<-3	0.580	1.000	Mutual exclusivity
TP73	TCF3	360	17	12	0	<-3	0.580	1.000	Mutual exclusivity
FSHR	TCF3	360	17	12	0	<-3	0.580	1.000	Mutual exclusivity
FBXW7	CUX1	306	64	16	3	-0.109	0.580	1.000	Mutual exclusivity
ITGB4	TRIM62	356	25	8	0	<-3	0.585	1.000	Mutual exclusivity
HDAC8	KMT2A	350	6	33	0	<-3	0.585	1.000	Mutual exclusivity
AQP3	KMT2A	350	6	33	0	<-3	0.585	1.000	Mutual exclusivity
USP9X	MDM4	350	33	6	0	<-3	0.585	1.000	Mutual exclusivity
OVOL2	UBR5	345	8	35	1	0.209	0.587	1.000	Co-occurrence
SCIN	PIK3CA	255	9	121	4	-0.065	0.590	1.000	Mutual exclusivity
FBXW7	PBXIP1	313	65	9	2	0.068	0.592	1.000	Co-occurrence
TLE1	PIK3CA	257	7	122	3	-0.102	0.592	1.000	Mutual exclusivity
OVOL2	WWOX	322	8	58	1	-0.365	0.593	1.000	Mutual exclusivity
NRP2	CARD10	361	14	14	0	<-3	0.593	1.000	Mutual exclusivity
PAK4	SFTPC	353	15	20	1	0.163	0.596	1.000	Co-occurrence
EPS8	PIK3CA	259	5	123	2	-0.172	0.598	1.000	Mutual exclusivity
CRK	PIK3CA	259	5	123	2	-0.172	0.598	1.000	Mutual exclusivity
GRN	SON	361	12	16	0	<-3	0.600	1.000	Mutual exclusivity
PAK4	FBXO11	361	16	12	0	<-3	0.600	1.000	Mutual exclusivity
NOTCH4	OVOL2	359	21	9	0	<-3	0.604	1.000	Mutual exclusivity
SFTPC	AGTR1	359	21	9	0	<-3	0.604	1.000	Mutual exclusivity
PRKCA	JAG1	352	14	22	1	0.134	0.606	1.000	Co-occurrence
IGSF8	ITGA3	361	11	17	0	<-3	0.608	1.000	Mutual exclusivity
PBXIP1	TP73	361	11	17	0	<-3	0.608	1.000	Mutual exclusivity
FBXW7	ARRB1	318	66	4	1	0.186	0.613	1.000	Co-occurrence
EGFL7	PIK3CA	261	3	124	1	-0.354	0.614	1.000	Mutual exclusivity
FSCN2	HDAC6	362	13	14	0	<-3	0.616	1.000	Mutual exclusivity
G3BP1	SFTPC	352	16	20	1	0.095	0.619	1.000	Co-occurrence
NOTCH4	TP73	352	20	16	1	0.095	0.619	1.000	Co-occurrence
SFTPC	FSHR	352	20	16	1	0.095	0.619	1.000	Co-occurrence
TLE1	SIN3A	361	10	18	0	<-3	0.619	1.000	Mutual exclusivity
ACTN4	GRN	362	15	12	0	<-3	0.620	1.000	Mutual exclusivity
ACTN4	PKP3	362	15	12	0	<-3	0.620	1.000	Mutual exclusivity
PRKCA	TCF3	362	15	12	0	<-3	0.620	1.000	Mutual exclusivity
ITGB4	CRK	357	25	7	0	<-3	0.626	1.000	Mutual exclusivity
ITGB4	BIRC2	357	25	7	0	<-3	0.626	1.000	Mutual exclusivity
ITGB4	SNW1	357	25	7	0	<-3	0.626	1.000	Mutual exclusivity
PAK4	IGSF8	362	16	11	0	<-3	0.626	1.000	Mutual exclusivity
PAK4	KLF8	362	16	11	0	<-3	0.626	1.000	Mutual exclusivity
UBE3C	KLF8	362	16	11	0	<-3	0.626	1.000	Mutual exclusivity
SON	KLF8	362	16	11	0	<-3	0.626	1.000	Mutual exclusivity
HDAC8	PIK3CA	260	4	123	2	0.055	0.626	1.000	Co-occurrence
AQP3	PIK3CA	260	4	123	2	0.055	0.626	1.000	Co-occurrence
MDM4	PIK3CA	260	4	123	2	0.055	0.626	1.000	Co-occurrence
KMT2A	KLF8	346	32	10	1	0.078	0.628	1.000	Co-occurrence
AQP3	WWOX	325	5	58	1	0.114	0.630	1.000	Co-occurrence
WWOX	MDM4	325	58	5	1	0.114	0.630	1.000	Co-occurrence
TLE1	ITGA3	362	10	17	0	<-3	0.636	1.000	Mutual exclusivity
ITGB4	ACTN4	350	24	14	1	0.041	0.638	1.000	Co-occurrence
SFTPC	NUMB	360	21	8	0	<-3	0.639	1.000	Mutual exclusivity
SFTPC	TRIM62	360	21	8	0	<-3	0.639	1.000	Mutual exclusivity
NRP2	FBXO11	363	14	12	0	<-3	0.640	1.000	Mutual exclusivity
NRP2	GRN	363	14	12	0	<-3	0.640	1.000	Mutual exclusivity
NRP2	PKP3	363	14	12	0	<-3	0.640	1.000	Mutual exclusivity
CARD10	QKI	363	14	12	0	<-3	0.640	1.000	Mutual exclusivity
NRP2	TCF3	363	14	12	0	<-3	0.640	1.000	Mutual exclusivity
STAT1	SFTPC	351	17	20	1	0.032	0.640	1.000	Co-occurrence
KMT2A	GLS	351	33	5	0	<-3	0.640	1.000	Mutual exclusivity
ACTN4	PBXIP1	363	15	11	0	<-3	0.645	1.000	Mutual exclusivity
STAT1	OVOL2	362	18	9	0	<-3	0.650	1.000	Mutual exclusivity
CRK	JAG1	359	7	23	0	<-3	0.650	1.000	Mutual exclusivity
GSN	JAG1	359	7	23	0	<-3	0.650	1.000	Mutual exclusivity
JAG1	SNW1	359	23	7	0	<-3	0.650	1.000	Mutual exclusivity
TLE1	PAK4	363	10	16	0	<-3	0.654	1.000	Mutual exclusivity
FBXW7	CXCR2	316	66	6	1	-0.226	0.654	1.000	Mutual exclusivity
FBXW7	QKI	312	65	10	2	-0.041	0.658	1.000	Mutual exclusivity
FSCN2	FBXO11	364	13	12	0	<-3	0.661	1.000	Mutual exclusivity
SCIN	PKP3	364	13	12	0	<-3	0.661	1.000	Mutual exclusivity
USP9X	CARD10	343	32	13	1	-0.193	0.664	1.000	Mutual exclusivity
IGSF8	CARD10	364	11	14	0	<-3	0.665	1.000	Mutual exclusivity
OVOL2	ITGA3	363	9	17	0	<-3	0.666	1.000	Mutual exclusivity
OVOL2	TP73	363	9	17	0	<-3	0.666	1.000	Mutual exclusivity
OVOL2	FSHR	363	9	17	0	<-3	0.666	1.000	Mutual exclusivity
G3BP1	OVOL2	363	17	9	0	<-3	0.666	1.000	Mutual exclusivity
G3BP1	AGTR1	363	17	9	0	<-3	0.666	1.000	Mutual exclusivity
ITGA3	AGTR1	363	17	9	0	<-3	0.666	1.000	Mutual exclusivity
TP73	AGTR1	363	17	9	0	<-3	0.666	1.000	Mutual exclusivity
ITGB4	GAPDH	358	25	6	0	<-3	0.669	1.000	Mutual exclusivity
ACTN4	MAPK7	364	15	10	0	<-3	0.672	1.000	Mutual exclusivity
NOTCH4	CRK	361	21	7	0	<-3	0.676	1.000	Mutual exclusivity
SFTPC	CRK	361	21	7	0	<-3	0.676	1.000	Mutual exclusivity
NOTCH4	GSN	361	21	7	0	<-3	0.676	1.000	Mutual exclusivity
SFTPC	GSN	361	21	7	0	<-3	0.676	1.000	Mutual exclusivity
SFTPC	HAVCR2	361	21	7	0	<-3	0.676	1.000	Mutual exclusivity
NOTCH4	SNW1	361	21	7	0	<-3	0.676	1.000	Mutual exclusivity
SFTPC	SNW1	361	21	7	0	<-3	0.676	1.000	Mutual exclusivity
ART1	SFTPC	361	7	21	0	<-3	0.676	1.000	Mutual exclusivity
CXCR2	SFTPC	361	7	21	0	<-3	0.676	1.000	Mutual exclusivity
OVOL2	UBE3C	364	9	16	0	<-3	0.682	1.000	Mutual exclusivity
FBXO11	QKI	365	12	12	0	<-3	0.683	1.000	Mutual exclusivity
FBXO11	TCF3	365	12	12	0	<-3	0.683	1.000	Mutual exclusivity
GRN	TCF3	365	12	12	0	<-3	0.683	1.000	Mutual exclusivity
FBXW7	GEMIN2	320	67	2	0	<-3	0.685	1.000	Mutual exclusivity
FBXW7	NODAL	320	67	2	0	<-3	0.685	1.000	Mutual exclusivity
TLE1	HDAC6	365	10	14	0	<-3	0.690	1.000	Mutual exclusivity
TLE1	CARD10	365	10	14	0	<-3	0.690	1.000	Mutual exclusivity
AQP3	JAG1	360	6	23	0	<-3	0.692	1.000	Mutual exclusivity
ACTN4	OVOL2	365	15	9	0	<-3	0.699	1.000	Mutual exclusivity
ACTN4	AGTR1	365	15	9	0	<-3	0.699	1.000	Mutual exclusivity
OVOL2	PRKCA	365	9	15	0	<-3	0.699	1.000	Mutual exclusivity
USP9X	GSK3A	352	33	4	0	<-3	0.700	1.000	Mutual exclusivity
KMT2A	GSK3A	352	33	4	0	<-3	0.700	1.000	Mutual exclusivity
ITGB4	FSHR	348	24	16	1	-0.098	0.701	1.000	Mutual exclusivity
G3BP1	ITGB4	348	16	24	1	-0.098	0.701	1.000	Mutual exclusivity
CUX1	GSN	363	19	7	0	<-3	0.702	1.000	Mutual exclusivity
CUX1	HAVCR2	363	19	7	0	<-3	0.702	1.000	Mutual exclusivity
CUX1	SNW1	363	19	7	0	<-3	0.702	1.000	Mutual exclusivity
PBXIP1	FBXO11	366	11	12	0	<-3	0.705	1.000	Mutual exclusivity
KLF8	QKI	366	11	12	0	<-3	0.705	1.000	Mutual exclusivity
KLF8	TCF3	366	11	12	0	<-3	0.705	1.000	Mutual exclusivity
CRK	ATM	324	6	58	1	-0.071	0.712	1.000	Mutual exclusivity
GSN	WWOX	324	6	58	1	-0.071	0.712	1.000	Mutual exclusivity
ATM	HAVCR2	324	58	6	1	-0.071	0.712	1.000	Mutual exclusivity
HDAC8	NOTCH4	362	6	21	0	<-3	0.715	1.000	Mutual exclusivity
AQP3	SFTPC	362	6	21	0	<-3	0.715	1.000	Mutual exclusivity
SFTPC	GAPDH	362	21	6	0	<-3	0.715	1.000	Mutual exclusivity
SFTPC	MDM4	362	21	6	0	<-3	0.715	1.000	Mutual exclusivity
STAT1	CRK	364	18	7	0	<-3	0.716	1.000	Mutual exclusivity
SIN3A	CRK	364	18	7	0	<-3	0.716	1.000	Mutual exclusivity
STAT1	SOX3	364	18	7	0	<-3	0.716	1.000	Mutual exclusivity
STAT1	SHH	364	18	7	0	<-3	0.716	1.000	Mutual exclusivity
ITGB4	GLS	359	25	5	0	<-3	0.716	1.000	Mutual exclusivity
OVOL2	HDAC6	366	9	14	0	<-3	0.716	1.000	Mutual exclusivity
OVOL2	NRP2	366	9	14	0	<-3	0.716	1.000	Mutual exclusivity
OVOL2	CARD10	366	9	14	0	<-3	0.716	1.000	Mutual exclusivity
NRP2	AGTR1	366	14	9	0	<-3	0.716	1.000	Mutual exclusivity
CARD10	AGTR1	366	14	9	0	<-3	0.716	1.000	Mutual exclusivity
GEMIN2	WWOX	328	2	59	0	<-3	0.719	1.000	Mutual exclusivity
WWOX	NODAL	328	59	2	0	<-3	0.719	1.000	Mutual exclusivity
FBXW7	GAPDH	317	66	5	1	-0.040	0.724	1.000	Mutual exclusivity
FBXW7	MDM4	317	66	5	1	-0.040	0.724	1.000	Mutual exclusivity
ACTN4	NUMB	366	15	8	0	<-3	0.728	1.000	Mutual exclusivity
ACTN4	TRIM62	366	15	8	0	<-3	0.728	1.000	Mutual exclusivity
TLE1	PKP3	367	10	12	0	<-3	0.728	1.000	Mutual exclusivity
TLE1	TCF3	367	10	12	0	<-3	0.728	1.000	Mutual exclusivity
USP9X	TCF3	345	32	11	1	-0.020	0.730	1.000	Mutual exclusivity
G3BP1	CRK	365	17	7	0	<-3	0.730	1.000	Mutual exclusivity
G3BP1	GSN	365	17	7	0	<-3	0.730	1.000	Mutual exclusivity
ART1	ITGA3	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
CXCR2	ITGA3	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
EPS8	ITGA3	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
CRK	ITGA3	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
GSN	ITGA3	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
ITGA3	BIRC2	365	17	7	0	<-3	0.730	1.000	Mutual exclusivity
CXCR2	TP73	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
EPS8	TP73	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
CRK	TP73	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
BIRC2	TP73	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
HAVCR2	TP73	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
CXCR2	FSHR	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
GSN	FSHR	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
SOX3	FSHR	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
HAVCR2	FSHR	365	7	17	0	<-3	0.730	1.000	Mutual exclusivity
FSHR	SNW1	365	17	7	0	<-3	0.730	1.000	Mutual exclusivity
OVOL2	FSCN2	367	9	13	0	<-3	0.734	1.000	Mutual exclusivity
OVOL2	SCIN	367	9	13	0	<-3	0.734	1.000	Mutual exclusivity
OVOL2	ETV1	367	9	13	0	<-3	0.734	1.000	Mutual exclusivity
SCIN	AGTR1	367	13	9	0	<-3	0.734	1.000	Mutual exclusivity
JAG1	TP73	350	22	16	1	-0.006	0.734	1.000	Mutual exclusivity
CUX1	AQP3	364	19	6	0	<-3	0.739	1.000	Mutual exclusivity
PAK4	CXCR2	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
PAK4	CRK	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
PAK4	GSN	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
PAK4	BIRC2	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
TRIM33	BIRC2	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
